DayTimeBucket,DayTimeBucketGroupKey
Late Night (00:00 AM To 02:59 AM),0
Early Morning(03:00 AM To 6:59 AM),1
AM Peak (7:00 AM To 8:59 AM),2
Mid Morning (9:00 AM To 11:59 AM),3
Lunch (12:00 PM To 13:59 PM),4
Mid Afternoon (14:00 PM To 15:59 PM),5
PM Peak (16:00 PM To 17:59 PM),6
Evening (18:00 PM To 23:59 PM),7
