SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/18/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.019824","0.000432"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/19/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.019824","0.000432"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/20/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.019824","0.000432"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/21/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.019824","0.000432"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/22/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.019824","0.000432"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/23/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.019824","0.000432"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/24/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.019824","0.000432"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/25/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.019824","0.000432"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/26/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.019824","0.000432"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/27/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.019824","0.000432"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/28/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.019824","0.000432"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/29/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.019824","0.000432"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/30/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.019824","0.000432"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","8/31/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.019824","0.000432"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/1/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.02052","0.000456"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/2/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.02052","0.000456"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/3/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.02052","0.000456"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/4/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.02052","0.000456"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/5/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.02052","0.000456"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/6/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.02052","0.000456"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/7/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.02052","0.000456"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/8/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.020501","0.000456"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/9/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.020496","0.000456"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/10/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.020408","0.000456"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/11/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.014799","0.000335"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/12/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/13/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/14/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/15/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/16/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/17/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/18/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/19/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/20/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/21/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/22/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/23/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/24/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/25/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/26/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/27/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/28/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
"Microsoft Azure Sponsorship 2","2fd2d39b-b2a1-4174-b80c-839540ed7340","9/29/2022","c3867359-7044-4ef7-9049-01ef23565e7b","Storage","Tiered Block Blob","EU North","Hot LRS Data Stored","0.008208","0.000192"
